phi1   phi2  phi  COD
 0.0   0.0   0.0    130 
 5.0   0.0   0.0    132 
10.0   0.0   0.0    137 
15.0   0.0   0.0    142 
20.0   0.0   0.0    152 
25.0   0.0   0.0    156 
30.0   0.0   0.0    171 
35.0   0.0   0.0    179 
40.0   0.0   0.0    199 
45.0   0.0   0.0    199 
50.0   0.0   0.0    199 
55.0   0.0   0.0    179 
60.0   0.0   0.0    171 
65.0   0.0   0.0    156 
70.0   0.0   0.0    152 
75.0   0.0   0.0    142 
80.0   0.0   0.0    137 
85.0   0.0   0.0    132 
90.0   0.0   0.0    130 
 0.0   5.0   0.0    132 
 5.0   5.0   0.0    137 
10.0   5.0   0.0    142 
15.0   5.0   0.0    152 
20.0   5.0   0.0    156 
25.0   5.0   0.0    171 
30.0   5.0   0.0    179 
35.0   5.0   0.0    199 
40.0   5.0   0.0    199 
45.0   5.0   0.0    199 
50.0   5.0   0.0    179 
55.0   5.0   0.0    171 
60.0   5.0   0.0    156 
65.0   5.0   0.0    152 
70.0   5.0   0.0    142 
75.0   5.0   0.0    137 
80.0   5.0   0.0    132 
85.0   5.0   0.0    130 
90.0   5.0   0.0    132 
 0.0  10.0   0.0    137 
 5.0  10.0   0.0    142 
10.0  10.0   0.0    152 
15.0  10.0   0.0    156 
20.0  10.0   0.0    171 
25.0  10.0   0.0    179 
30.0  10.0   0.0    199 
35.0  10.0   0.0    199 
40.0  10.0   0.0    199 
45.0  10.0   0.0    179 
50.0  10.0   0.0    171 
55.0  10.0   0.0    156 
60.0  10.0   0.0    152 
65.0  10.0   0.0    142 
70.0  10.0   0.0    137 
75.0  10.0   0.0    132 
80.0  10.0   0.0    130 
85.0  10.0   0.0    132 
90.0  10.0   0.0    137 
 0.0  15.0   0.0    142 
 5.0  15.0   0.0    152 
10.0  15.0   0.0    156 
15.0  15.0   0.0    171 
20.0  15.0   0.0    179 
25.0  15.0   0.0    199 
30.0  15.0   0.0    199 
35.0  15.0   0.0    199 
40.0  15.0   0.0    179 
45.0  15.0   0.0    171 
50.0  15.0   0.0    156 
55.0  15.0   0.0    152 
60.0  15.0   0.0    142 
65.0  15.0   0.0    137 
70.0  15.0   0.0    132 
75.0  15.0   0.0    130 
80.0  15.0   0.0    132 
85.0  15.0   0.0    137 
90.0  15.0   0.0    142 
