phi1   phi2  phi  COD
 0.0   0.0   0.0     98 
 5.0   0.0   0.0    103 
10.0   0.0   0.0    107 
15.0   0.0   0.0    102 
20.0   0.0   0.0    103 
25.0   0.0   0.0    102 
30.0   0.0   0.0    101 
35.0   0.0   0.0     95 
40.0   0.0   0.0     96 
45.0   0.0   0.0     98 
50.0   0.0   0.0     96 
55.0   0.0   0.0     95 
60.0   0.0   0.0    101 
65.0   0.0   0.0    102 
70.0   0.0   0.0    103 
75.0   0.0   0.0    102 
80.0   0.0   0.0    107 
85.0   0.0   0.0    103 
90.0   0.0   0.0     98 
 0.0   5.0   0.0    103 
 5.0   5.0   0.0    107 
10.0   5.0   0.0    102 
15.0   5.0   0.0    103 
20.0   5.0   0.0    102 
25.0   5.0   0.0    101 
30.0   5.0   0.0     95 
35.0   5.0   0.0     96 
40.0   5.0   0.0     98 
45.0   5.0   0.0     96 
50.0   5.0   0.0     95 
55.0   5.0   0.0    101 
60.0   5.0   0.0    102 
65.0   5.0   0.0    103 
70.0   5.0   0.0    102 
75.0   5.0   0.0    107 
80.0   5.0   0.0    103 
85.0   5.0   0.0     98 
90.0   5.0   0.0    103 
 0.0  10.0   0.0    107 
 5.0  10.0   0.0    102 
10.0  10.0   0.0    103 
15.0  10.0   0.0    102 
20.0  10.0   0.0    101 
25.0  10.0   0.0     95 
30.0  10.0   0.0     96 
35.0  10.0   0.0     98 
40.0  10.0   0.0     96 
45.0  10.0   0.0     95 
50.0  10.0   0.0    101 
55.0  10.0   0.0    102 
60.0  10.0   0.0    103 
65.0  10.0   0.0    102 
70.0  10.0   0.0    107 
75.0  10.0   0.0    103 
80.0  10.0   0.0     98 
85.0  10.0   0.0    103 
90.0  10.0   0.0    107 
 0.0  15.0   0.0    102 
 5.0  15.0   0.0    103 
10.0  15.0   0.0    102 
15.0  15.0   0.0    101 
20.0  15.0   0.0     95 
25.0  15.0   0.0     96 
30.0  15.0   0.0     98 
35.0  15.0   0.0     96 
40.0  15.0   0.0     95 
45.0  15.0   0.0    101 
50.0  15.0   0.0    102 
55.0  15.0   0.0    103 
60.0  15.0   0.0    102 
65.0  15.0   0.0    107 
70.0  15.0   0.0    103 
75.0  15.0   0.0     98 
80.0  15.0   0.0    103 
85.0  15.0   0.0    107 
90.0  15.0   0.0    102 
 0.0  20.0   0.0    103 
 5.0  20.0   0.0    102 
10.0  20.0   0.0    101 
15.0  20.0   0.0     95 
20.0  20.0   0.0     96 
25.0  20.0   0.0     98 
30.0  20.0   0.0     96 
35.0  20.0   0.0     95 
40.0  20.0   0.0    101 
45.0  20.0   0.0    102 
50.0  20.0   0.0    103 
55.0  20.0   0.0    102 
60.0  20.0   0.0    107 
